0,1
amount_screen_len,mood_1_day_before_scaled
appCat.builtin_len,appCat.unknown_len
appCat.communication_len,amount_screen_mean
appCat.entertainment_mean,mood_2_day_before_scaled
appCat.game_mean,appCat.entertainment_len
appCat.office_len,appCat.finance_len
appCat.other_len,mood_3_day_before
appCat.other_mean,sms_custom
appCat.utilities_mean,
appCat.weather_len,
appCat.weather_mean,
circumplex.arousal_custom,
circumplex.valence_custom,
mood_1_day_before,
mood_2_day_before,
screen_len,
screen_mean,
screenrest_len,
week_day_custom,
